Isolate,ReadsPerCopy
CDC335,424.91549279587974
CDC336,374.5317195801134
CDC337,387.0660003579186
CDC338,356.547159824539
CDC339,355.9381770837456
CDC340,331.14148676318683
CDC342,428.24438809174916
CDC343,367.29514014677363
CDC344,339.5261582000305
E1,111.4221228245249
E10,104.02809453348455
E11,101.86795329928752
E12,101.25976178468372
E13,112.11088332292726
E14,115.9287081978792
E15,122.0874384391412
E16,103.63366734697613
E17,125.05446904426967
E18,119.94050409597426
E19,79.95470362853978
E20,130.94063325357627
E21,120.561242004512
E22,120.35055303431137
E23,129.7838403083073
E24,125.17440859459394
E25,88.40411919442914
E27,108.8472293160131
E3,117.70529333292193
E30,125.426163833385
E31,103.53779937984558
E32,110.81829080900714
E33,99.98702960297769
E34,129.78143753062054
E35,115.51592447238664
E36,125.05652365995746
E37,109.14664153746745
E38,126.39416050819642
E39,117.7117500117515
E4,109.21224162447405
E40,122.2798076437393
E41,113.4712253758736
E42,124.40010703815224
E43,122.03650247765805
E44,112.25035247498248
E45,120.12608099934808
E46,112.2612221886057
E47,125.92695178118971
E48,116.5542837059284
E49,131.1484543215558
E5,123.7058630115356
E50,88.1937828989195
E51,127.50319172123292
E52,124.61390048638329
E53,120.34084368876294
E54,125.58207724407605
E56,112.7467828370264
E57,102.38000498680002
E58,122.58321453571519
E59,114.20853907756342
E6,108.6294765787478
E60,123.45820785515139
E61,104.26579219591333
E62,131.96712208246294
E63,116.54102341814338
E64,124.41413390884352
E65,76.88694955928055
E66,131.9904955857014
E67,112.77927053443553
E68,124.60892510788922
E69,123.60597346182008
E7,121.9960172405142
E70,117.69172004561464
E71,125.84295325592952
E72,119.45679277319935
E73,125.23565396960419
E74,129.64549934587404
E75,131.22707890092187
E78,114.25217230400122
E79,120.42178341088682
E80,127.90502690639855
E81,106.66034412492802
E9,97.654479456917
FM14,484.9360304051402
GL105,358.56941640818144
GL122,471.1016733551323
GL16,465.8792952642453
GL18,470.5612005419516
GL23,523.716935973422
GL28,333.55296117231535
GL29,460.6871674105628
GL62,104.10343767488045
GL79,456.78304369456
MSK1,122.62527958714806
MSK1004,148.43239398414357
MSK1015,182.41113557600588
MSK1082,120.51468963205735
MSK1090,159.73233657521965
MSK1119,182.03979910352703
MSK1129,183.31775903515663
MSK1191,237.90369989930224
MSK1241,159.46696685368937
MSK1258,161.4300389716538
MSK1286,120.02517343296745
MSK1298,163.73079614594454
MSK1302,111.12768203941698
MSK1324,139.16707145746062
MSK1325,135.5405747263478
MSK1394,213.06077064704013
MSK1398,140.56651613755747
MSK1399,112.6169842596397
MSK1666,113.39703079610499
MSK17,109.95142565993204
MSK1700,190.9142465384126
MSK1762,273.69564626698826
MSK18,120.12368595857372
MSK1882,225.85547799736815
MSK1884,196.69584969100075
MSK1891,219.42423750750876
MSK1892,259.4023443137097
MSK1894,172.41113560627227
MSK1895,219.3440154499619
MSK2,129.7590328183821
MSK2057,264.7296682678664
MSK2094,285.69901550087513
MSK2107,297.87036843649366
MSK2108,237.61854657339504
MSK2123,234.55618218878865
MSK2124,277.04693465882224
MSK2159,199.44015773275495
MSK2161,231.52242863382324
MSK2162,226.2353074437694
MSK2191,125.62465024193826
MSK2199,147.06725887594425
MSK2233,296.235344776296
MSK2234,278.0716168448668
MSK2384,234.5665363769094
MSK2386,234.9284794946374
MSK2387,307.11503416251435
MSK2389,319.28046396474963
MSK2390,257.9900988960684
MSK2399,174.31805716696346
MSK2406,243.2640761061057
MSK2412,200.42374535774488
MSK2413,165.5973771719694
MSK2415,214.6983415904334
MSK2422,209.157269827813
MSK2425,242.8534183449971
MSK2426,113.7666417382302
MSK2448,157.2870018851443
MSK2456,126.56957246747984
MSK247,122.02523628137506
MSK249,146.03598587704516
MSK2499,171.32049528550655
MSK250,129.03042860297535
MSK2524,169.49427175288906
MSK2529,249.96194352295123
MSK264,112.56776725589069
MSK2640,231.2978417512224
MSK2646,128.85676741081102
MSK2647,196.5376327189836
MSK2648,162.36008649382313
MSK2649,223.1231318289127
MSK265,114.86097042475305
MSK281,110.80605420804355
MSK282,114.98799408820295
MSK296,118.258249088283
MSK297,108.90458293086006
MSK314,123.13470358874572
MSK315,117.98239402588258
MSK33,88.4446291880872
MSK34,106.16014504889806
MSK478,105.6038774664426
MSK485,154.37324759077356
MSK489,174.40840831964152
MSK49,103.1023635889925
MSK490,220.2926870836965
MSK5,126.02036703536218
MSK51,120.355901264452
MSK520,151.85655135113223
MSK522,161.66440608265347
MSK543,157.9228121035538
MSK544,150.3714011485011
MSK620,377.8935702880258
MSK624,341.67236831894775
MSK65,94.95082818912044
MSK67,151.5413186788056
MSK794,203.2872804603513
MSK795,233.2529475802782
MSK799,254.46287119687065
MSK800,239.46007060151916
MSK802,215.8495649142486
MSK803,194.98162181484057
MSK804,229.56447105486754
MSK806,232.3226910466803
MSK807,218.23462900019044
MSK808,242.1541753127446
MSK809,200.27409030699965
MSK810,233.0622292844396
MSK811,226.92274539387128
MSK812,209.1610643475907
MSK813,261.339439483934
MSK814,238.33504170178003
MSK815,262.4446600112452
MSK844,86.9476807066479
MSK846,206.45550239221774
MSK848,144.72135596606486
MSK850,216.18266233177664
MSK891,195.62900022923236
MSK923,124.51827790255648
MSK925,106.57078652854052
UWM1195,214.6997596762154
UWM1196,126.1736224882924
UWM1197,149.05735051786857
UWM1198,121.62393261072948
UWM1199,160.4583349149098
UWM1204,178.03116405310035
UWM1206,192.9003471916233
UWM1207,228.6145850957004
UWM1208,240.14732352795514
